Classement,Club,Pays,19/20,20/21,21/22,22/23,23/24,Points
1,Manchester City,Angleterre,25.000,35.000,27.000,33.000,19.000,139.000
2,Bayern Munich,Allemagne,36.000,27.000,26.000,27.000,18.000,134.000
3,Real Madrid,Espagne,17.000,26.000,30.000,29.000,19.000,121.000
4,FC Liverpool,Angleterre,18.000,24.000,33.000,19.000,13.000,107.000
5,Paris Saint-Germain,France,31.000,24.000,19.000,19.000,9.000,102.000
6,Inter Milan,Italie,25.000,9.000,18.000,29.000,17.000,98.000
7,Chelsea FC,Angleterre,17.000,33.000,25.000,21.000,,96.000
8,RasenBallsport Leipzig,Allemagne,27.000,17.000,17.000,18.000,15.000,94.000
9,Manchester United,Angleterre,22.000,26.000,18.000,19.000,7.000,92.000
10,AS Roma,Italie,11.000,24.000,23.000,22.000,9.000,89.000
11,FC Barcelone,Espagne,24.000,20.000,15.000,9.000,17.000,85.000
12,Sevilla FC,Espagne,26.000,19.000,12.000,21.000,6.000,84.000
13,Borussia Dortmund,Allemagne,18.000,22.000,10.000,18.000,16.000,84.000
14,Atlético de Madrid,Espagne,22.000,16.000,19.000,8.000,17.000,82.000
15,Juventus Turin,Italie,22.000,21.000,20.000,17.000,,80.000
16,Bayer 04 Leverkusen,Allemagne,18.000,10.000,14.000,19.000,15.000,76.000
17,Villarreal CF,Espagne,,30.000,24.000,12.000,8.000,74.000
18,SSC Napoli,Italie,19.000,10.000,9.000,25.000,9.000,72.000
19,SL Benfica,Portugal,10.000,10.000,20.000,25.000,5.000,70.000
20,FC Porto,Portugal,7.000,23.000,10.000,18.000,10.000,68.000
21,Arsenal FC,Angleterre,10.000,23.000,,17.000,17.000,67.000
22,Atalanta BC,Italie,20.000,17.000,16.000,,13.000,66.000
23,Ajax Amsterdam,Pays-Bas,13.000,19.000,22.000,8.000,3.000,65.000
24,Shakhtar Donetsk,Ukraine,22.000,14.000,6.000,11.000,10.000,63.000
25,Eintracht Francfort,Allemagne,9.000,,28.000,16.000,7.000,60.000
26,West Ham United,Angleterre,,,21.000,29.000,10.000,60.000
27,Feyenoord Rotterdam,Pays-Bas,4.000,4.000,24.000,17.000,8.000,57.000
28,Glasgow Rangers,Écosse,11.000,15.000,19.000,4.000,6.000,55.000
29,Tottenham Hotspur,Angleterre,16.000,15.000,5.000,18.000,,54.000
30,Club Brugge KV,Belgique,8.000,11.000,7.000,17.000,10.000,53.000
31,FC Bâle 1893,Suisse,19.000,2.500,12.000,17.000,1.500,52.000
32,PSV Eindhoven,Pays-Bas,6.000,10.000,10.000,11.000,15.000,52.000
33,Lazio Rome,Italie,4.000,17.000,9.000,6.000,16.000,52.000
34,AC Milan,Italie,,12.000,7.000,24.000,8.000,51.000
35,Sporting CP,Portugal,10.000,2.500,16.000,14.000,8.000,50.500
36,AZ Alkmaar,Pays-Bas,8.000,6.000,13.000,19.000,4.000,50.000
37,Red Bull Salzbourg,Autriche,10.000,7.000,17.000,9.000,7.000,50.000
38,Real Sociedad,Espagne,,8.000,9.000,16.000,17.000,50.000
39,SC Braga,Portugal,10.000,9.000,16.000,7.000,7.000,49.000
40,SK Slavia Prague,Tchéquie,6.000,16.000,10.000,6.000,10.000,48.000
41,KAA La Gantoise,Belgique,10.000,3.000,11.000,11.000,10.000,45.000
42,GNK Dinamo Zagreb,Croatie,8.000,17.000,9.000,7.000,4.000,45.000
