Code,Nom du Joueur,Position,Club
ZA,Ricardo Goss,Gardien,SuperSport United
ZA,Veli Mothwa,Gardien,AmaZulu
ZA,Ronwen Williams,Gardien,Mamelodi Sundowns
ZA,Grant Kekana,Défenseur,Mamelodi Sundowns
ZA,Terrence Mashego,Défenseur,Mamelodi Sundowns
ZA,Aubrey Modiba,Défenseur,Mamelodi Sundowns
ZA,Khuliso Mudau,Défenseur,Mamelodi Sundowns
ZA,Mothobi Mvala,Défenseur,Mamelodi Sundowns
ZA,Sydney Mobbie,Défenseur,Sekhukhune United
ZA,Nkosinathi Sibisi,Défenseur,Orlando Pirates
ZA,Siyanda Xulu,Défenseur,SuperSport
ZA,Thapelo Maseko,Milieu,Mamelodi Sundowns
ZA,Teboho Mokoena,Milieu,Mamelodi Sundowns
ZA,Thapelo Morena,Milieu,Mamelodi Sundowns
ZA,Jayden Adams,Milieu,Stellenbosch
ZA,Thabang Monare,Milieu,Orlando Pirates
ZA,Sphephelo Sithole,Milieu,Tondela
ZA,Zakhele Lepasa,Attaquant,Mamelodi Sundowns
ZA,Evidence Makgopa,Attaquant,Orlando Pirates
ZA,Oswin Appollis,Attaquant,Polokwane City
ZA,Mihlali Mayambela,Attaquant,Aris Limassol
ZA,Percy Tau,Attaquant,Al Ahly
ZA,Themba Zwane,Attaquant,Mamelodi Sundowns
