Code,Nom du Joueur,Position,Club
BF,Hervé Koffi,Gardien,Charleroi
BF,Hillel Konaté,Gardien,
BF,Kilian Nikiema,Gardien,LB Châteauroux
BF,Sébastien Koula Tou,Gardien,Sabadell
BF,Issa Kaboré,Défenseur,Luton Town
BF,Steeve Yago,Défenseur,Aris Limassol
BF,Issoufou Dayo,Défenseur,RS Berkane
BF,Nasser Djiga,Défenseur,Étoile Rouge de Belgrade
BF,Edmond Tapsoba,Défenseur,Bayer Leverkusen
BF,Adamo Nagalo,Défenseur,FC Nordsjælland
BF,Abdoul Razack Guiebre,Défenseur,Modène
BF,Valentin Nouma,Défenseur,FC Saint-Éloi
BF,Blati Touré,Milieu,Pyramids FC
BF,Adama Guira,Milieu,Racing Rioja
BF,Dramane Salou,Milieu,FC Urartu
BF,Ismahila Ouedraogo,Milieu,PAOK Salonique
BF,Sacha Bansé,Milieu,Valenciennes FC
BF,Gustavo Sangaré,Milieu,Quevilly-Rouen Métropole
BF,Stéphane Aziz Ky,Milieu,Young Africans
BF,Bertrand Traoré,Attaquant,Aston Villa
BF,Dango Ouattara,Attaquant,Bournemouth
BF,Mamady Bangré,Attaquant,Toulouse FC
BF,Djibril Ouattara,Attaquant,RS Berkane
BF,Hassane Bandé,Attaquant,HJK Helsinki
BF,Mohamed Konaté,Attaquant,Akhmat Grozny
BF,Abdoul Tapsoba,Attaquant,Amiens SC
BF,Cédric Badolo,Attaquant,Sheriff Tiraspol
