Code,Nom du Joueur,Position,Club
CD,Lionel Mpasi,Gardien,Rodez AF
CD,Baggio Siadi,Gardien,TP Mazembe
CD,Dimitry Bertaud,Gardien,Montpellier HSC
CD,Brian Bayeye,Défenseur,Ascoli
CD,Rocky Bushiri,Défenseur,Hibernian
CD,Gédéon Kalulu,Défenseur,FC Lorient
CD,Dylan Batubinsika,Défenseur,AS Saint-Étienne
CD,Arthur Masuaku,Défenseur,Besiktas
CD,Chancel Mbemba,Défenseur,OM
CD,Joris Kayembe,Défenseur,Genk
CD,Henock Inonga Baka,Défenseur,Simba
CD,Edo Kayembe,Milieu,Watford
CD,Silas Katompa Mvumpa,Milieu,Stuttgart
CD,Charles Pickel,Milieu,Cremonese
CD,Meschack Elia,Milieu,Young Boys
CD,Samuel Moutoussamy,Milieu,FC Nantes
CD,Théo Bongonda,Milieu,Spartak Moscou
CD,Aaron Tshibola,Milieu,Hatta Club
CD,Grady Diangana,Milieu,West Bromwich Albion
CD,Gaël Kakuta,Milieu,Amiens SC
CD,Yoane Wissa,Attaquant,Brentford
CD,Cédric Bakambu,Attaquant,Galatasaray
CD,Simon Banza,Attaquant,Sporting Braga
CD,Fiston Mayele,Attaquant,Pyramids FC
