Code,Nom du Joueur,Position,Club
CM,André Onana,Gardien,Manchester United
CM,Dévis Epassy,Gardien,Abha FC
CM,Simon Ngapandouetnbu,Gardien,Olympique de Marseille
CM,Fabrice Ondoa,Gardien,Nîmes Olympique
CM,Jean-Charles Castelletto,Défenseur,FC Nantes
CM,Harold Moukoudi,Défenseur,AEK Athènes
CM,Oumar Gonzalez,Défenseur,Al-Raed Saudi
CM,Darlin Yongwa,Défenseur,FC Lorient
CM,Nouhou Tolo,Défenseur,Seattle Sounders
CM,Christopher Wooh,Défenseur,Stade Rennais
CM,Enzo Tchato,Défenseur,Montpellier HSC
CM,Junior Tchamadeu,Défenseur,Stoke City
CM,Malcolm Bokelé,Défenseur,Girondins de Bordeaux
CM,Yvan Neyou,Milieu,CD Leganés
CM,Olivier Kemen,Milieu,Kayserispor
CM,Olivier Ntcham,Milieu,Samsunspor
CM,André-Frank Zambo Anguissa,Milieu,Napoli
CM,Wilfried Nathan Douala,Milieu,Victoria United
CM,Benjamin Elliot Njongue,Milieu,Reading
CM,Karl Toko-Ekambi,Attaquant,Abha FC
CM,George-Kevin Nkoudou,Attaquant,Damac FC
CM,Vincent Aboubakar,Attaquant,Besiktas
CM,Faris Pemi Moumbagna,Attaquant,Bodo Glimt
CM,Moumi Ngamaleu,Attaquant,Dynamo Moscou
CM,Frank Magri,Attaquant,Toulouse FC
CM,Leonel Ateba,Attaquant,Dynamo de Douala
CM,Clinton Njié,Attaquant,Sivasspor
