Code,Nom du Joueur,Position,Club
DZ,Anthony Mandrea,Gardien,SM Caen
DZ,Mbolhi,Gardien,CR Belouizdad
DZ,Benbot,Gardien,USM Alger
DZ,Moustapha Zeghba,Gardien,Damas FC
DZ,Youcef Atal,Défenseur,OGC Nice
DZ,Kévin Guitoun,Défenseur,FC Metz
DZ,Rayan Aït-Nouri,Défenseur,Wolverhampton Wanderers
DZ,Yasser Larouci,Défenseur,Sheffield United
DZ,Aïssa Mandi,Défenseur,Villareal
DZ,Mohamed Amine Tougaï,Défenseur,ES Tunis
DZ,Ramy Bensebaïni,Défenseur,Borussia Dortmund
DZ,Ahmed Touba,Défenseur,Lecce
DZ,Zineddine Belaïd,Défenseur,USM Alger
DZ,Nabil Bentaleb,Milieu,LOSC Lille
DZ,Sofiane Feghouli,Milieu,Fatih Karagümrük
DZ,Houssem Aouar,Milieu,AS Roma
DZ,Farès Chaïbi,Milieu,Eintracht Francfort
DZ,Ramiz Zerrouki,Milieu,Feyenoord Rotterdam
DZ,Hicham Boudaoui,Milieu,OGC Nice
DZ,Ismaël Bennacer,Milieu,AC Milan
DZ,Riyad Mahrez,Attaquant,Al-Ahli
DZ,Adam Ounas,Attaquant,LOSC Lille
DZ,Mohammed Amoura,Attaquant,Union Saint-Gilloise
DZ,Youcef Belaïli,Attaquant,MC Alger
DZ,Baghdad Bounedjah,Attaquant,Al-Sadd SC
DZ,Islam Slimani,Attaquant,Coritiba FC
