Code,Nom du Joueur,Position,Club
GM,Modou Jobe,Gardien,Musanze
GM,Baboucarr Gaye,Gardien,Lokomotiv Sofia
GM,Lamin Sarr,Gardien,Eskilsminne
GM,Dawda Ngum,Défenseur,Ariana FC
GM,Ibou Touray,Défenseur,Stockport County
GM,Omar Colley,Défenseur,Besiktas
GM,Noah Sonko Sundberg,Défenseur,Ludogorets
GM,Jacob Mendy,Défenseur,Wrexham
GM,Bubacarr Sanneh,Défenseur,sans club
GM,Muhammed Sanneh,Défenseur,Banik Ostrava
GM,Saidy Janko,Défenseur,Young Boys
GM,James Gomez,Défenseur,Sparta Prague
GM,Hamza Barry,Milieu,Vejle
GM,Ablie Jallow,Milieu,FC Metz
GM,Sulayman Marreh,Milieu,sans club
GM,Ebrima Adams,Milieu,Cardiff City
GM,Abdoulie Sanyang,Milieu,Grenoble Foot 38
GM,Alasana Manneh,Milieu,Odense
GM,Ebrima Darboe,Milieu,LASK Linz
GM,Yusupha Bobb,Milieu,KACM Marrakech
GM,Musa Barrow,Attaquant,Al-Taawoun
GM,Alieu Fadera,Attaquant,Genk
GM,Assan Ceesay,Attaquant,Damac
GM,Ali Sowe,Attaquant,Ankaragücü
GM,Ebrima Colley,Attaquant,Young Boys
GM,Muhammed Badamosi,Attaquant,Al-Hazem
GM,Yankuba Minteh,Attaquant,Feyenoord
