Code,Nom du Joueur,Position,Club
GN,Ibrahim Koné,Gardien,Hibernians FC
GN,Aly Kéita,Gardien,Ostersunds
GN,Moussa Camara,Gardien,Horoya AC
GN,Sékou Oumar Sylla,Défenseur,SC Cambuur
GN,Julian Jeanvier,Défenseur,Kayserispor
GN,Saidou Sow,Défenseur,RC Strasbourg
GN,Mohamed Ali Camara,Défenseur,Young Boys
GN,Antoine Conté,Défenseur,Botev Plovdiv
GN,Ibrahim Diakité,Défenseur,Stade de Reims
GN,Issiaga Sylla,Défenseur,Montpellier HSC
GN,Mouctar Diakhaby,Défenseur,Valence CF
GN,Amadou Diawara,Milieu,Anderlecht
GN,Abdoulaye Touré,Milieu,Le Havre AC
GN,Seydouba Cissé,Milieu,Leganes
GN,Mory Konaté,Milieu,KV Malines
GN,Moriba Kourouma,Milieu,RB Leipzig
GN,Naby Kéita,Milieu,Werder Brême
GN,Aguibou Camara,Milieu,Atromitos
GN,Karim Cissé,Milieu,AS Saint-Étienne
GN,François Kamano,Attaquant,Abha FC
GN,Morgan Guilavogui,Attaquant,RC Lens
GN,Serhou Guirassy,Attaquant,Stuttgart
GN,Mohamed Bayo,Attaquant,Le Havre AC
GN,José Martinez Kanté,Attaquant,Urawa Red Diamonds
GN,Facinet Conté,Attaquant,SC Bastia
