Code,Nom du Joueur,Position,Club
GQ,Jesus Owondo,Gardien,Alaves
GQ,Manuel Sapunga,Gardien,Polwayne City
GQ,Aitor Embela,Gardien,Soneja CP
GQ,Carlos Akapo,Défenseur,SJ Erathqualkes
GQ,Nestor Senra,Défenseur,Real Aviles
GQ,Esteban Obiang,Défenseur,FC Arges
GQ,Saul Coco,Défenseur,UD Las Palmas
GQ,Jose Elo,Défenseur,AD Merida
GQ,Hugo Buyla,Défenseur,Sampdoria
GQ,Basilo Ndong,Défenseur,Craiova
GQ,Charles Ondo,Défenseur,Huddersfield
GQ,Marvin Aneboh,Défenseur,CD Illesca
GQ,Federico Bikoro,Milieu,Club Africain
GQ,Alex Balboa,Milieu,Huesca
GQ,Jose Machin,Milieu,AC Monza
GQ,Santiago Eneme,Milieu,Vyshov
GQ,Jannick Buyla,Milieu,SD Logrones
GQ,Pablo Ganet,Milieu,Alcoyano
GQ,Federico Nguema,Milieu,FC Balti
GQ,Edu Salvador,Attaquant,Miedz Legnica
GQ,Noe Ela,Attaquant,Numancia
GQ,Josette Miranda,Attaquant,Niki Volou
GQ,Luismi Nlavo,Attaquant,Cano Sport
GQ,Emilio Nsué,Attaquant,Intercity
GQ,Oscar Siafa,Attaquant,US Alessandria
GQ,Salomon Obama,Attaquant,Santa Coloma
