Code,Nom du Joueur,Position,Club
MZ,Ernane Siluane,Gardien,Black Bulls
MZ,Ivane Urrubal,Gardien,Sans club
MZ,Fazito,Gardien,Nampula
MZ,Reinildo,Défenseur,Atlético Madrid
MZ,Domingos Macandza,Défenseur,Costa do Sol
MZ,Mexer,Défenseur,Bandirmaspor
MZ,Edmilson Dove,Défenseur,Kaizer Chiefs
MZ,Bruno Langa,Défenseur,GD Chaves
MZ,David Malembana,Défenseur,Noah
MZ,Ifren Matola,Défenseur,UD Songo
MZ,Nene,Défenseur,Black Bulls
MZ,Amade Momade,Milieu,Beira
MZ,Ricardo Guimaraes,Milieu,GD Chaves
MZ,Joao Bonde,Milieu,Beira
MZ,Shaquille Nangy,Milieu,Maputo
MZ,Domingues,Milieu,UD Songo
MZ,Alfonso Amade,Milieu,Ostende
MZ,Geny Catamo,Attaquant,Sporting CP
MZ,Witi Quembo,Attaquant,CD Nacional
MZ,S. Ratifo,Attaquant,Pforzheim
MZ,Clesio Bauque,Attaquant,Honka
MZ,G. Vilanculo,Attaquant,Covilha
MZ,Lau King,Attaquant,Sagrada
