Code,Nom du Joueur,Position,Club
NA,Lloydt Kazapua,Gardien,Chippa United
NA,Kamaijanda Ndisiro,Gardien,African Stars
NA,Edward Maova,Gardien,Tuks FC
NA,Ananias Gebhardt,Défenseur,Baroka FC
NA,Ryan Nyambe,Défenseur,Derby County
NA,Riaan Hanamub,Défenseur,Amazulu FC
NA,Erasmus Ikeinge,Défenseur,Khomas Nampol
NA,Kennedy Amutenya,Défenseur,Unattached
NA,Denzil Haoseb,Défenseur,Khomas Nampol
NA,Charles Hambira,Défenseur,African Stars
NA,Aprocious Petrus,Défenseur,Liria Prizren
NA,Ivan Kamberipa,Défenseur,Orapa United
NA,Lubeni Haukongo,Défenseur,Cape Town Spurs
NA,Ngero Katua,Milieu,La Universidad
NA,Romeo Kasume,Milieu,Matebele FC
NA,Marcel Papama,Milieu,Township Rollers
NA,Petrus Shitembi,Milieu,Kaching City
NA,Prins Tjiueza,Milieu,Liria Prizren
NA,Uetuuru Kambato,Milieu,African Stars
NA,Wendell Rudath,Attaquant,Jwaneng Galaxy
NA,Absalom Iimbondi,Attaquant,Khomas Nampol
NA,Erastus Kulula,Attaquant,Blue Waters FC
NA,Edmar Kamatuka,Attaquant,La Universidad
NA,Peter Shalulile,Attaquant,Mamelodi Sundowns
NA,Deon Hotto,Attaquant,Orlando Pirates
NA,Joslin Kamatuka,Attaquant,Maritizburg United
NA,Bethuel Muzeu,Attaquant,Black Leopards
NA,Junior Petrus,Attaquant,Liria Prizren
