Code,Nom du Joueur,Position,Club
TN,Aymen Dahmen,Gardien,Al-Hazem
TN,Mouez Hassen,Gardien,Club Africain
TN,Béchir Ben Said,Gardien,US Monastir
TN,Ali Abdi,Défenseur,SM Caen
TN,Ali Maaloul,Défenseur,Al-Ahly
TN,Wajdi Kechrida,Défenseur,Atromitos Athènes
TN,Yassine Meriah,Défenseur,Espérance Tunis
TN,Montassar Talbi,Défenseur,FC Lorient
TN,Hamza Jelassi,Défenseur,Étoile du Sahel
TN,Yan Valery,Défenseur,Angers Sco
TN,Oussama Haddadi,Défenseur,Greuther Fürth
TN,Ellyes Skhiri,Milieu,FC Cologne
TN,Mohamed Ali Ben Romdhane,Milieu,Ferencvaros
TN,Aïssa Laïdouni,Milieu,Union Berlin
TN,Houssem Teka,Milieu,Espérance Tunis
TN,Hamza Rafia,Milieu,US Lecce
TN,Mohamed Haj Mahmoud,Milieu,FC Lugano
TN,Anis Ben Slimane,Milieu,Brøndby
TN,Youssef Msakni,Attaquant,Al-Arabi SC
TN,Naïm Sliti,Attaquant,Al-Ahli
TN,Taha Yassine Khenissi,Attaquant,Kuwait SC
TN,Haythem Jouini,Attaquant,Stade tunisien
TN,Seifallah Letaief,Attaquant,FC Winterthour
TN,Bassem Srarfi,Attaquant,Club Africain
TN,Elias Achouri,Attaquant,FC Copenhague
